Beast,Magische Tierwesen
Point me,Weise mir die Richtung/vier Punkte Zauber
Refilling Charm,Nachfüll-Zauber
Relashio,Relaschio
Revulsion Jinx,Verekel-Fluch
Restoring Spell,Rückverwandlungs-Zauber
Reverse spell effect,Priori Incantatem
Scourgify,Ratzeputz
Shield Charm,Schild-Zauber
Shrinking Solution,Schrumpf-Trank
Scintillation Solution,Funken-Lösung
Skele-gro,Skele-Wachs
Sleekeazy's Hair Potion,Seidenglatts Haargel
Stealth Sensoring Spell,Heimlichkeits-Aufspürzauber
Stinging Hex,Brand-Zauber
Strengthening solution,Stärkungs-Trank
Stretching Jinx,Streck-Fluch
Stupefy,Stupor
Stunnigng Spell,Schock-Zauber
Substantive Charm,Substantiv-Zauber
Summoning Charm,Aufrufe-Zauber
"Sunshine, daisies, butter mellow. Turn this stupid, fat rat yellow!","Eidotter, Gänsekraut und Sonnenschein, gelb soll diese dumme, fette Ratte sein! (HP I/6)"
Swelling Solution,Schwell-Lösung
Switching Spell,Verwandlungs-Zauber
Thief's Curse,Klau-Fluch
Thief's Downfall,Diebesfall
Tickling Charm,Kitzel-Zauber
Toenail-growing hex,"Verwünschung, die Zehennägel alarmierend schnell wachsen lässt"
Tongue-Tying Curse,Zunge-Fessel-Fluch
"Toots, Hoots 'n Roots","Kross, Spross und Schoss"
Transforming Spell,Verwandlungs-Zauber
Transmogrifian Torture,Transmutations-Tortur
Trip Jinx,Stolper-Fluch
Twin Chores,Zwillingskerne
Unbreakable Charm,Unzerbrechlichkeits-Zauber
Unbreakable Vow,Unbrechbarer Schwur
Unforgivable Curses,Unverzeihliche Flüche
Unplottable,Unortbar
Vanishing Spell,Verschwinde-Zauber
Wit-sharpening Potion,Gripsschärfungs-Trank
Wolfsbane Potion,Wolfsbann-Trank
A Chauldron Full of Hot Strong Love,"Ein Kessel voller heißer, starker Liebe"
Barnabus Finkley Prize for Exceptional Spell-Casting,Barnabus-Finkley-Preis für Außergewöhnliche Zauberei
Concealment and Disguise,Tarnung und Maskierung
Erised stra ehru oyt ube cafru oyt on wohsi I show not your face but your heart's desire,Nerhegeb Z Reh Nie Drebaz Tilt Naniedth CinNicht dein Antlitz aber dein Herzbegehren
Harry for President,Harry vor für Gryffindor
He who must not be named,Er dessen Name nicht genannt werden darf
I solemnly swear that I'm up to no good. Mischief managed!,"Ich schwöre feierlich, ich bin ein Tunichtgut.Missetat begangen! (HPIII/10)"
Master of Death,Gebieter des Todes
Potter stinks,Potter stinkt
Purveyors of Aids to Magical Mischief-Makers,Hilfsmittel für die Magischen Tunichtgut GmbH
S.P.E.W = Society for the Promotion of Elfish Welfare,B.ELFE.R =Bund für Elfenrechte
S.P.U.G. - Society for the Protection of Ugly Goblins,B.L.Ö.K. - Gesellschaft zum Schutz der lümmelhaften öden Kobolde
Stealth and Tracking,Verheimlichen und Aufspüren
Support CEDRIC DIGGORY-the REAL Hogwarts Champion! the REAL Hogwarts Champion!',Ich bin für CEDRIC DIGGORY -den WAHREN Hogwarts-Champion!
Tom Marvolo Riddle - I am Lord Voldemort,Tom Vorlost Riddle - Ist Lord Voldemort
U-no-poo,Du scheißt nie mehr
Wandlore,Zauberstabkunde
Weasley is our King,Weasley ist unser King
Wit Beyond Measure is Men's Greatest Pleasure,Witzigkeit  im Übermaß ist des Menschen größter Schatz
You know who,Du weißt schon wer
1 foot,1 Fuß
1 inch,1 Zoll
1 mile,1 Meile
62 44 2,62 44 3
713,719
A = Acceptable,A = Annehmbar
A Compendium of Common Curses and Their Counter-Actions,Ein Handbuch gängiger Flüche und Gegenflüche
A Study of Recent Developments in Wizardry,Jüngere Entwicklung der Zauberei
"Abbott, Hannah","Abbott, Hannah"
"Abercrombie, Euan","Abercrombie, Euan"
Aberdeen,Aberdeen
Abergaverny,Abergaverny
Abraxan Horse,"Abraxaner, Abraxas-Pferd"
Abstinence,Abstinenz
Abyssinian shrivelfig,Abessinische Schrumpelfeige
"Acanthia Way 18, Little Norton","Bärenklauweg 18, Little Norton"
Accidental Magic Reversal Department,Abteilung für die Umkehr verunglückter Zauberei
Accidental Magic Reversal Squad,Kommando für die Umkehr verunglückter Magie
Accio,Accio
Achievement in Charming,Große Errungenschaften der Zauberkunst
Acid Pops,Säuredrops
"Ackerly, Stewart","Ackerly, Stewart"
aconite/monkshood/wolfsbane,Aconitum/Eisenhut/Wolfswurz
Acromantula,Acromantula
Acromantula venom,Acromantula-Gift
Advanced Potion Making by Libatius Borage,Zaubertränke für Fortgeschrittene von Libatius Borage
Advanced Rune Translation,Runenübersetzung für Fortgeschrittene
"Adventures of Martin Miggs, the Mad Muggle","Abenteuer von Martin Miggs, dem mickrigen Muggel"
"Aesalon, Falco",
Aethon,Aethon
Africa,Afrika
Age,Alter
Age Line,Alterslinie
Ageing potion,Alterungstrank
Agnes,Agnes
"Agrippa, Cornelius","Agrippa, Cornelius"
Aguamenti,Aguamenti
Aguamenti Charm,Aguamenti-Zauber
Aingingein,Aingingein
Alarte Ascendare,Volate Ascendare
Albania,Albanien
Alchemy,Alchemie
"Alderton, Archibald",
Alecto,Alecto
"Alguff, the Awful",
Alice Band,Haarreif
Alihotsy,Alihotsy
All-England Best Kept Suburban Lawn Competition,Bestgepflegter-Vorstadtrasen- von-ganz-England-Wettbewerb
Alohomora,Alohomora
America,Amerika
Amortentia,Amortentia
Amuletts,Amulette
Amycus,Amycus
Anapneo,Anapneo
Ancient Magic,uralte Magie
Ancient Runes,Alte Runen
Ancient Runes Made Easy,Alte Runen leicht gemacht
Andorran Minister for Magic,Andorranischer Zaubereiminister
Andros the Invincible,
Anglesea,Anglesea
Animagus,Animagus
Annual broom race,Jährliches Besenrennen
An Anthology of Eighteenth Century Charms,Eine Anthologie der Zauberei des achtzehnten Jahrhunderts
Anti-Burglar Buzzer,Diebstahlschutzsummer
Anti-Cheating Spell,"Zauberspruch gegen Schummeln, Anti-Schummel-Zauber"
Anti-Disapparation Jinx,Antidisapparier-Fluch
Antidotes,Gegengifte
Anti-Gravity mist,Antischwerkraft Nebel
Anti-intruder jinx,Anti-Eindringlings-Fluch
Anti-Jinx Varnish,Anti-Fluch-Lackierung
Anti-Muggle Security,Muggelabwehr
Antipodean Opaleye,Antipodisches Opalauge
Anti-werewolf legislation,Anti-Werwolf-Gesetz
Aparecium,Aparecium
Apothecary,Apotheke
"Apparation Test Center, Ministy Apparition Instructor",Appariertestzentrum
"Apparition, Apparation, Disapparition","Apparieren, Disapparieren"
Apparition Instructor,Apparierlehrer
Apparition lessons,Apparierkurs
Apparation test / Apparition test,Prüfung im Apparieren
Appleby Arrows,Appleby Arrows
Appraisal of Magical Education in Europe,Handbuch der europäischen Magierausbildung
Aquavirius Maggots,Aquaviriusmaden
Aragog,Aragog
Arania Exumai,Arania Exumai
Archie,Archie
Archway,Steinbogen
arithmancy,Arithmantik
armadillo bile,Gürteltiergalle
Armenian Warlock,Armenischer Zauberer
Armour bewitching Charm,Rüstung Zauber
Arnold,Arnold
Arresto Momentum,Arresto Momentum
Artefact Accidents,Utensilien-Unglücke
Ash,Esche
Ashwinder,Aschwinderin
Ashwinder eggs,Aschwindereier
Asia,Asien
Asiatic Anti-Venoms,Asiatische Antidote
asphodel,Affodill
Assyria,Assyrien
Astrology,Astrologie
Astronomy,Astronomie
Astronomy Tower,Astronomieturm
Atrium,Atrium
"Aubrey, Bertram","Aubrey, Bertram"
Augurey,Augurey
Auror,Auror
Auror Headquaters,Aurorenzentrale
Auror Office,Aurorenbüro
Australia,Australien
Auto-Answer Quills,Selbstantwortende Federn
Avada Kedavra,Avada Kedavra
Avery,Avery
"Avery, Senior","Avery, Senior"
Avis,Avis
Axminster,Perser
Azkaban Fortress,Askaban Festung
Babbling Beverage,Plappertrank
Backfiring Jinx,Bumerang-Fluch
badger,Dachs
"Badock, Malcom","Badock, Malcom"
"Bagman, Ludo(vic)","Bagman, Ludo(vic)"
"Bagman, Otto","Bagman, Otto"
"Bagnold, Millicent","Bagnold, Millicent"
"Bagshot, Bathilda","Bagshot, Bathilda"
balaclava,Kapuzenmütze
Balderdash,Quatsch
Bane,Bane
Banishing Charm,Banishing Charm
Banshee,Todesfee
Barn owl,Schleiereule
Barnabas the Barmy,Barnabas der Bekloppte
Barny,
Baruffio,Baruffio
Baruffio's Brain Elixir,Baruffios Gehirnelixier
"Bashir, AliTeppichhändler","Bashir, AliTeppichhändler"
Basic Blaze Box,Vorhölle Sparbox
Basic Hexes for the Busy and Vexed,Zaubern für Dummies
Basilisk,Basilisk
Bat-Bogey Hex,Flederwichtfluch
Baubles,Flitterkram
"Bayliss, Hetty","Bayliss, Hetty"
Beater,Treiber
"Beaters' Bible, The by Brutus Scrimgeour",
Beauxbatons,Beauxbatons
"Beginner's Guide to Transfiguration, A by Emeric Switch",Verwandlungen für Anfänger - Emeric Wendel
Being and Spirit Division,Sein- und Geist-trennung
"Belby, Damocles","Belby, Damocles"
"Belby, Marcus","Belby, Marcus"
"Belcher, Humphrey","Belcher, Humphrey"
"Bell, Katie","Bell, Katie"
Bella,Bella
belladonna,belladonna
"belladonna, essense of",Belladonna Essenz
"Benson, Amy","Benson, Amy"
berserk,Berserker
Bertie Bott's Every-Flavour Beans,Bertie Botts Bohnen in allen Geschmacksrichtungen
Bethnal Green,
Bewitched Sleep,Verzauberter Schlaf
bezoar,Bezoar
Bibble,Bibble
bicorn horn,Zweihornhorn
"Bilius, Uncle","Bilius, Onkel"
Billywig,
Binding/Fastening Magic,Fesselzauber
"Binns, Professor","Binns, Professor Geist"
"Bishop, Dennis","Bishop, Dennis"
Bites,Bisse
black beetle eyes,schwarze Käfer Augen
"Black, ???","Black, ???"
"Black, Alphard","Black, Alphard"
"Black, Andromeda","Black, Andromeda"
"Black, Araminta Meliflua","Black, Araminta Meliflua"
"Black, Bellatrix","Black, Bellatrix"
"Black, Elladora","Black, Elladora"
"Black, Mrs.","Black, Mrs."
"Black, Narcissa, married Malfoy","Black, Narcissa, verheiratete Malfoy"
"Black, Phineas Nigellus","Black, Phineas Nigellus"
"Black, Regulus","Black, Regulus"
"Black, Sirius","Black, Sirius/Schwarz, Sirius"
Blast-Ended Skrewts,Knallrümpfige Kröter
Blasting Curse,
"Bletchley, Miles","Bletchley, Miles"
Blibbering Humdinger,Schlibbrige Summlinger
Blitzisten(Polizisten),please-men(Policemen)
Blood Blisterpod,Blutblasenschote
Blood Brothers: My Life amongst the Vampires by Eldred Worple,Blutsbrüder: Mein Leben unter Vampiren von Eldred Worple
Blooder,
Blood-Replenishing Potion,Blut bildender Trank
Bloodtraitor,Blutsverräter
Bloody Baron,blutige Baron
Bludger,Klatscher
Bluebell flames,Blaue Flammen
Bluebottle,Bulle
boa constrictor,Boa Constrictor
"Boardman, Stubby","Boardman, Stubby"
"Bobbin, Melinda","Bobbin, Melinda"
Bode and Croaker,Bode und Croaker
"Bode, Broderick","Bode, Broderick"
Body-Bind Curse,Ganzkörperklammer
bogey,Popel/Bogey
Boggart,Irrwicht
Boggart banishing Charm,
boil cure potion,Trank zur Heilung von Furunkeln
Bole,Furunkeln
"Bonaccord, Pierre","Bonaccord, Pierre"
Bonder,einer der den unbrechbaren Schwur besiegelt
"Bones, Amelia Susan","Bones, Amelia Susan"
"Bones, Edgar","Bones, Edgar"
"Bones, Familie",Bones
"Bones, Susan","Bones, Susan"
boomslang,Baumschlange
boomslang skin,Baumschlangenhaut
"Boot, Terry","Boot, Terry"
"Boothby, Gladys",
"Borage, Libatius","Borage, Libatius"
Borgin & Burkes,Borgin und Burkes
"Borgin, Mr","Borgin, Mr"
"Bott, Bertie",Bertie Bott
bouncing bulbs,Springende Knollen
Bowtruckle,Bowtruckle
Boxing Day,Tag nach den Weihnachtsfeiertagen
Bozo,Bozo
Bradley,Bradley
"Bragge, Barberus",
Braking Charm,Bremszauber
"Branstone, Eleanor","Branstone, Eleanor"
Break With a Banshee,Tanz mit einer Todesfee - Gilderoy Lockhart
Brockdale Bridge,Brockdale-Brücke
"Brocklehurst, Mandy","Brocklehurst, Mandy"
Broken Balls: When Fortunes Turn Foul,Zerbrochene Träume: Wenn sich das Schicksal wendet
"Brookstanton, Rupert ""Axebanger""","Brookstanton, Rupert ""Axebanger"""
broom crashes,Besen-Zusammenstöße
Broom Regulatory Control,Besenregulationskontrollamt
Brown owl,Steinkauz
"Brown, Lavender","Brown, Lavender"
bruise-remover,Blutergussbeseitiger
"Bryce, Frank","Bryce, Frank"
Bubble-Head Charm,Kopfblasenzauber
Bubbles,Kugeln
bubotuber,Bubotubler Eiter
Buckbeak,Seidenschnabel
Budleigh Babberton,Budleigh Babberton
Buggins,Buggins
Bulbadox powder,Pustelpuder
Bulgarian Quidditch Team,Bulgarisches Quidditchteam
"Bulstrode, Millicent","Bulstrode, Millicent"
Bundimun,
"Bungs, Rosalind Antigone","Bungs, Rosalind Antigone"
Bungy the Budgerigar,Wallly der Wellensittich
"Burke, Caractacus","Burke, Caractacus"
Burkes,Burkes
burn-healing paste,Heilpaste für Verbrennungen
burns,Verbrennungen
Burrow,Fuchsbau
Butterbeer,Butterbier
cabbage,Kohl
"Cadogan, Sir","Cadogan, Sir"
Cadwallader,Cadwallader
Calming Draught,Beruhigungstrank
Canary Transfiguration,Kanarienvogel-Verwandlung
Candle Magic,magische Kerzen
Caput Draconis,Caput Draconis
Care of Magical Creatures,Pflege magischer Geschöpfe
Caretaker,Hausmeister
"Carmichael, Eddie","Carmichael, Eddie"
"Carrows, the","Carrows, die"
cartomancy,Kartomantie
Cartwheel Charm,
Cassandra Vablatsky,Kassandra Wablatschki/ Cassandra Vablatsky
caterpillars,Raupen
"Catriona, Meaghan & Kirley McCormack",
cauldron explosion,Kesselexplosion
"Cauldwell, Owen","Cauldwell, Owen"
Cecilia,Cecilia
Centaur,Zentaur
Centaur Liaison Office (FB),
Chambers,Chambers
"Chang, Cho","Chang, Cho"
Charing Cross Road,Charing Cross Road
Charm Your Own Cheese,So zaubern Sie Ihren eigenen Käse
Charms,Zaubersprüche
Cheering Charm,Aufheiterungszauber/Aufmunterungszauber
Chimaera,Chimära
Chizpurfle,Kitzpurfel
Choclate Cauldrons,Schokokessel
"Chorley, Herbert","Chorley, Herbert"
Chudley Cannons,Chudley Cannons
Circe,Zirce
Cissy,Zissy
Clabbert,Klabbert
Clapham,Clapham
"cleaning solutions, magical",Magische Reinigungsmittel
Cleansweep,Sauberwisch
Cleansweep 11,Sauberwisch 11
Cleansweep 7,Sauberwisch 7
"Clearwater, Penelope","Clearwater, Penelope"
Cliodna,Cliodna
cods wallop,Stuss
"Cole, Mrs","Cole, Mrs"
Colloportus,Colloportus
Colonel Fubster,Oberst Stumper
Colour Change Charm,Farbwechselzauber
Colour-Change Ink,Farbwechseltinte
Come and Go Room,Da-und-fort-Raum
Comet Two Ninety,Komet Zwei-Neunzig
Comet Two Sixty,Komet Zwei-Sechzig
Commitee of the Disposal of Dangerous Creatures,Ausschuss für die Beseitigung gefährlicher Geschöpfe
Commitee on Experimental Charms,Arbeitsgruppe für Experimentelles Zaubern
Common Magical Ailments and Afflictions,Magische Hauskrankheiten und Gebrechen
Common Welsh Green,Gemeiner Walisischer Grünling
Compendium of Common Curses and Counter-Actions,
Concealment and Disguise,Tarnung und Maskierung
Confronting the Faceless,Im Angesicht des Gesichtslosen
Confundus Charm,Verwechlsungszauber
Confusing Concoction,Verwirrungs-Elixier
Conjunctivitus Curse,"Bindehautentzündungsfluch, Konjunktivitis Fluch"
Conjuring Spell,Beschwörungszauber
Connolly,Connolly
contagious maladies,ansteckende Krankheiten
"Coote, Ritchie","Coote, Ritchie"
"Corner, Michael","Corner, Michael"
"Cornfoot, Stephen",
Counter-Charm for hiccoughs,Gegenzauber für Schluckauf
Course of Shock Spells,Schockzaubertherapie
Courtrooms,Gerichtsräume
Crabbe senior,Crabbe senior
"Crabbe, Vincent","Crabbe, Vincent"
"Cragg, Elfrida","Cragg, Elfrida"
Creaothceann,
Creature-Induced Injuries,Verletzungen durch Tierwesen
"Creevey, Colin","Creevey, Colin"
"Creevey, Colin & Dennis","Creevey, Colin & Dennis"
"Creevey, Dennis","Creevey, Dennis"
"Cresswell, Dirk","Cresswell, Dirk"
Croaker,Croaker
"Crockford, Doris","Crockford, Doris"
Crookshanks,Krummbein
"Crouch, Bartemius (senior)","Crouch, Bartemius (senior)"
"Crouch, Barty(junior)","Crouch, Barty(junior)"
Cruciatus Curse,Cruciatus Fluch
Crucio,Crucio
Crumple-Horned Snorkack,Schrumpfhörnige Schnarchkackler
Crup,Crup
crystallised pineapple,kandierte Ananas
"Cuffe, Barnabas","Cuffe, Barnabas"
"cup, small golden","Becher, kleiner goldener"
Curse of the Bogies,Fluch der Popel
"Curses and Counter-curses (Bewitch Your Friends and Befuddle Your Enemies
with the Latest Revenges: Hair Loss, Jelly-Legs, Tongue-Tying, and Much, 
Much More)",Flüche und Gegenflüche - Professor Vindictus Viridian
D = Dreadful,S = Schrecklich
DA (Dumbledore's Army),DA (Dumbledores Armee)
DA = Dumbledore's Army,DA = Dumbledores Armee
DADA (Defence Against the Dark Arts),VgdK (Verteidigung gegen die Dunklen Künste)
"daffodil, honking",ätzende Narzisse
"Dagworth-Granger, Hector","Dagworth-Granger, Hector"
Dai Llewellyn,Dai Llewellyn
Daily Prophet,Tagesprophet
daisy,Gänseblümchen
daisy roots,Gänseblümchenwurzeln
Dangerous Dai Lleywellyn Ward: Serious Bites,Dangerous-Dai-Lleywellyn Station: Serious Bites
"Dark Forces: A Guide to Self-Protection, The by Quentin Trimble",Dunkle Kräfte. Ein Kurs zur Selbstverteidigung - Quirin Sumo
Dark Lord,Dunkler Lord
"Davies, Roger","Davies, Roger"
"Davis, Tracey",
Dawlish,Dawlish
"de Mimsy-Porpington, Sir Nicholas","De Mimsy-Porpington, Sir Nicholas , Fast Kopfloser Nick"
"Dearborn, Caradoc","Dearborn, Caradoc"
Death Eaters,Todesser
Death Omens: What To Do When You Know The Worst Is Coming,"Omen des Todes- Was tun, wenn Sie wissen, dass das Schlimmste bevorsteht"
Deatheater,Todesser
Decoy Detonators,Bluffknaller
Decree for the Reasonable Restriction of Underage Sorcery,Erlass zur vernunftgemäßen Beschränkung der Zauberei Minderjähriger
Defense Against the Dark Arts,Verteidigung gegen die dunklen Künste
"Defensive Magical Theory, by Wilbert Slinkhard",Theorie magischer Verteidigung -Wilbert Slinkhard
Defensive Spells,Defensivzauber
Deflagration Deluxe,Inferno de Luxe
Deflating Draft,Abschwelltrank
Deflecting Charm,Ablenkzauber
"Delacour, Fleur","Delacour, Fleur"
"Delacour, Gabrielle","Delacour, Gabrielle"
"Delaney-Podmore, Sir Patrick","Delaney-Podmore, Sir Patrick"
"Delaney-Podmore, Sir Patrick","Delaney-Podmore, Sir Patrick"
Deletrius,Deletrius
Deluxe Sugar Quills,Zuckerfederkiele de Luxe
Dementor,Dementor
Demiguise,
Dennis,Dennis
Densaugeo,Densaugeo
Department,Abteilung
Department of International Magical Co-operation,Abteilung für Internationale Magische Zusammenarbeit
Department of Magical Accidents and Catastrophes,Abteilung für Magische Unfälle und Katastrophen
Department of Magical Games and Sports,Abteilung für magische Spiele und Sportarten
Department of Magical Law Enforcement,Abteilung für magische Strafverfolgung
Department of Magical Transportation,Abteilung für magisches Transportwesen
"Department of Mysteries /""Unspeakables""","Mysteriumsabteilung/""Unsägliche"""
Department of the Regulation and Control of Magical Creatures,Abteilung zur Führung und Aufsicht magischer Geschöpfe
Deputy Headmaster/Headmistress,Stellvertretende(r) Schulleiter(in)
Derrick,Derrick
Dervish & Banges,Dervish & Banges
"Derwent, Dilys","Derwent, Dilys"
"Destination, Determination, Deliberation (the three D's)","Ziel, Wille, Bedacht (Goldene Dreierregel)"
Detachable Cribbing Cuffs,abnehmbare Spickmanschetten
Devil's Snare,Teufelsschlinge
Diagon Alley,Winkelgasse
Diary,Tagebuch/Taschenkalender
Diffindo,Diffindo
"Diggle, Dedalus","Diggle, Dädalus"
"Diggory, Amos","Diggory, Amos"
"Diggory, Cedric","Diggory, Cedric"
"Diggory, Cedric & Amos","Diggory, Cedric & Amos"
Dilligrout,Krönungsmahl
"Dingle, Harold","Dingle, Harold"
"Dippet, Armando","Dippet, Armando"
"Dippet, Armando, Professor","Dippet, Armando, Professor"
Diricawl,
Disarming Charm,Entwaffnungszauber
Disillusion,Desillusionieren
Disillusionment Charm,Desillusionierungszauber
Dismembers,Demontoren/Dementöre
Dissendium,Dissendium
dittany,Diptam
Divinations,Wahrsagen
Dobby,Dobby
Dodgy Dirk,
Dog-breath,Misthund
"Doge, Elphias","Doge, Elphias"
"Dolohov, Antonin","Dolohow, Antonin"
Don't count your owls before they are delivered,Du sollst den Tag nicht vor der letzten Eule loben
Doxy,Doxy
Doxycide,Doxyzid
Dr. Ubbly's Oblivious Unction,Dr. Salbaders amnesische Salbe
Draco dormiens nunquam titillandus,Draco dormiens nunquam titillandus
Dragon,Drachen
Dragon blood,Drachenblut
Dragon Breeding for Pleasure and Profit,Drachenzucht für Haus und Hof
Dragon Dung,Drachenmist
"dragon hide, blood, heart, liver, horn, claw","Drachenhaut, -blut, -herz, -leber, -horn, -klaue"
Dragon Pox,Drachenpocken
Dragon Research and Restraint Bureau,
Dragon Species of Great Britain and Ireland,Drachenarten Großbritanniens und Irlands
Draught of Living Death,Sud des lebenden Todes
Draught of Peace,Trunk des Friedens
Dreadful Denizens of the Deep,Grausige Wesen der Tiefe
Drear,
Drooble's Best Blowing Gum,Druhbels Bester Blaskaugummi
Dugbog,Sumpfkrattler
Dumberton,Dumberton
"Dumbledore, Aberforth","Dumbledore, Aberforth"
Dumbledore's watch,Dumbledores Uhr
Dumby,Dumby
Dunderbore,Dunderbore
Dung,Dung
Dung-head,Dreikäsehoch
Durmstrang,Durmstrang
Dursley,Dursley
"Dursley, Dudley","Dursley, Dudley"
"Dursley, Marge (Marjorie)","Dursley, Marge/Magda (Magdalene)"
"Dursley, Petunia","Dursley, Petunia"
"Dursley, Vernon","Dursley, Vernon"
"Dursley, Vernon, Petunia & Dudley","Dursley, Vernon, Petunia & Dudley"
"Dursley, Vernon, Petunia, Dudley Marjorie","Dursley, Vernon, Petunia, Dudley Marjorie"
E = Exceeds Expectation,E = Erwartungen übertroffen
Eagle owl,Uhu
Eat slugs,Friss Schnecken!
eckeltricity(statt Electricity),Ekelzität (Elektrizität)
Eclectic fire,Eklektisches Feuer
eclectic fireescapator,Trolltreppen
"Edgecombe, Madam","Edgecombe, Madam"
"Edgecombe, Marietta","Edgecombe, Marietta"
Edible Dark Marks,Essbare Dunkle Male
Educational Decree 22,Ausbildungserlass 22
Educational Decree 23,Ausbildungserlass 23
Educational Decree 24,Ausbildungserlass 24
Educational Decree 25,Ausbildungserlass 25
Educational Decree 26,Ausbildungserlass 26
Educational Decree 27,Ausbildungserlass 27
Educational Decree 28,Ausbildungserlass 28
Educational Decree 29,Ausbildungserlass 29
Eeylops Owl Emporium,Eeylops Eulenimperium
Elfen,Elfen
Elfric the Eager,Elfrich der Eifrige
Elixer of Life,Lebenselixier
Elixir to Induce Euphoria,Euphorie-Elixier
embedded spines,eingewachsene Stachel
Emeric Switch,Emeric Wendel
Emeric the Evil,Emerich der Böse
Enchantment in Baking,Magie beim Backen
Encyclopedia of Toadstools,Enzyklopädie der Giftpilze
Enervate,Enervate
Engorgement Charm,Schwellzauber
Engorgio,Engorgio
Entrail-Expelling Curse,
"Entwhistle, Kevin",
Episkey,Episkey
Erised,Nerhegeb
Erkling,
Errol,Errol
Erumpent,
escapator(statt escalator),Trolltreppen(statt Rolltreppen)
Escapators,Trolltreppen
Essence of Insanity,
Essence of Rue,Tonikum für die Nerven
Evanesco,Evanesco
"Evans, Lilly","Evans, Lilly"
"Evans, Mark","Evans, Mark"
"Evans, Petunia","Evans, Petunia"
Evening Prophet,Abendprophet
Everard,Everard
Everlasting Elixirs,
Expecto Patronum,Expecto Patronum
Expelliarmus,Expelliarmus
Exploding Fluid,Vergesslichkeitstrank
Exploding Snap,"Snape explodiert, Zauberschnippschnapp"
Extendable Ears,Langziehohren
Fainting Fancies,Kollapskekse
Fairy,Fee
Fairy eggs,Feeneier
"Fang, the boarhound","Fang, der Saurüde"
Fanged Frisbees,Fangzähnige Frisbees
Fanged Geranium,Fangzähnige Geranie
Fantastic Beasts and Where to Find Them by Newt Scamander,"Sagentiere/Phantastische Tierwesen und wo sie zu finden sind - Lurch
Scamander"
Fat Friar,Fetter Mönch
Fawcett,Fawcett
"Fawcett, S.","Fawcett, S."
"Fawkes, the phoenix","Fawkes, der Phönix"
Felix Felices,Felix Felices
felly-tone(statt telephone),Feleton(Telefon)
"Fenwick, Benjy","Fenwick, Benjy"
Fergus,
Ferula,Ferula
Fever Fudge,Fieberfondant
Fidelius Charm,Fidelius-Zauber
"Figg, Arabella Doreen","Figg, Arabella Doreen"
"Filch, Argus","Filch, Argus"
Filibuster,Filibuster
"Filibuster, Dr.","Filibuster, Dr."
"Finch-Fletchley, Justin","Finch-Fletchley, Justin"
Finite,Finite
Finite Incantatem,Finite Incantatem
"Finnigan, Seamus","Finnigan, Seamus"
Fire Crab,Feuerkrabbe
Fire Salamander,Feuersalamander
Firebolt,Feuerblitz
firelegs,Beinfeuerwaffen
firelegs(firearms),Beinfeuerwaffen(Handfeuerwaffen)
Firenze,Firenze
Firewhiskey,Feuerwhiskey
Firewhisky,Feuerwhisky
Fizzing Whizzbee,Zischende Zauberdrops
Flagrate,Flagrate
"Flamel, Nicholas","Flamel, Nicholas"
"Flamel, Nicolas","Flamel, Nicolas"
"Flamel, Nicolas and Perenelle","Flamel, Nicolas and Perenelle"
"Flamel, Perenelle","Flamel, Perenelle"
"Fleet, Angus","Fleet, Angus"
Flesh-Eating Trees of the World,Fleisch fressende Bäume der Welt
"Fletcher, Mundungus","Fletcher, Mundungus"
Flibbertigibbet,Amontillado
"Flint, Marcus","Flint, Marcus"
Flitterbloom,Flitterblume
"Flitwick, Filius, Professor","Flitwick, Professor"
Flobberworm,Flubberwürmer
Floo powder,Floh-Pulver
Flourish & Blotts,Flourish und Blotts
Fluffy,Fluffy
"Flume, Ambrosius","Flume, Ambrosius"
Flutterby Bush,Blühender Busch
fluxweed,Flussgras
Flying Charm,Fliegezauber
Flying With the Cannons,Fliegen mit den Cannons
Foe-Glass,Feindglas
Forbidden Forrest,Verbotener Wald
Forgetfulness Potion,Vergesslichkeitstrank
Fortescue,Fortescue
"Fortescue, Florean","Fortescue, Florean"
Fortuna Major,Fortuna Major
Fountain of Magical Brethren,Brunnen der magischen Geschwister
Four-Point Spell,VierPunkteZauber
Fowl or Foul? A Study of Hippogriff Brutality (PA15),Tollheit oder Tollwut? Die Übergriffe von Hippogreifen
Fridwulfa,Fridwulfa
Friedwulfa,Friedwulfa
"Frobisher, Vicky","Frobisher, Vicky"
frog brains,Froschgehirn
"From Egg to Inferno, A Dragon Keeper's Guide",Vom Ei zum Inferno: Ein Handbuch für Drachenhalter
"Fubster, Colonel","Stumper, Oberst"
"Fudge, Cornelius Oswald","Fudge, Cornelius Oswald"
Furnunculus Curse,Furnunculusfluch
Fwooper,Fwuper
Gadding With Ghouls,Gammeln mit Ghulen - Gilderoy Lockhart
Galleon,Galleone
Gambol & Japes,Freud & Leid
Gargoyle,Wasserspeier
Garroting Gas,Garottengas
"Gaunt, Marvolo","Gaunt, Vorlost"
"Gaunt, Merope","Gaunt, Merope"
"Gaunt, Morfin","Gaunt, Morfin"
Ghosts,Geister
Ghoul,Ghul
Giants,Riesen
Gibbon,Gibbon
Gilbert Wimple,Wilbert Gimpel
"Gilderoy Lockhart's Guide to Household Pests by Gilderoy Lockhart (CS3, OP6)",Gilderoy Lockharts Ratgeber für Schädlinge in Haus und Hof (Bd.2)
Gillywater,Goldlackwasser
